Title,Date Created,Latitude,Longitude,Northing,Easting,Description,Kategori,Produk,Dusun,Foto
Toko Bu Rohima,2026-07-21T13:21:17+07:00,-8.449062,114.085828,9064857.216,179088.5204,Warung Kelontong,Kelontong,Bahan pokok,Sumber Urip,
Toko Bu Sumarti,2026-07-21T13:28:46+07:00,-8.449273791,114.0882375,9064835.758,179354.248,Toko Kelontong,Kelontong,Barang rumahan,Sumber Urip,
Toko Cahaya Tani Barurejo,2026-07-21T11:58:14+07:00,-8.453642778,114.0902588,9064353.813,179580.6401,Toko obat dan alat pertanian ,Pertanian,Alat dan obat pertanian,Sumber Urip,
Toko Dwi Jaya,2026-07-21T13:34:51+07:00,-8.443856228,114.0886599,9065435.785,179396.3226,Toko Kelontong,Kelontong,Barang rumahan,Sumber Urip,
Toko Kelontong Mba Maryam,2026-07-21T12:05:12+07:00,-8.453531558,114.0899541,9064365.873,179546.9658,Toko Kelontong,Kelontong,Mainan dan Bahan pokok,Sumber Urip,
Toko Madura Ayang Cindi,2026-07-21T13:07:43+07:00,-8.45176503,114.0847538,9064557.127,178972.3681,Jual Sayur dan bahan pokok,Kelontong,Sembako,Sumber Urip,
Toko Pojok Pak Paidi,2026-07-21T12:47:23+07:00,-8.45393348,114.0840328,9064316.502,178894.7004,Warung Tongkrong,Makanan dan minuman,Jajanan,Sumber Urip,
Warung bu Sri Yati,2026-07-21T13:13:40+07:00,-8.450408227,114.0858642,9064708.23,179093.6284,Toko kelontong ,Kelontong,Barang rumahan,Sumber Urip,
Warung kitiran,2026-07-22T12:29:30+07:00,-8.46011016,114.075158,9063625.451,177921.7354,rumah singgah mie,Makanan dan minuman,Jajanan,Sumber Urip,
Kolam Pancing Banyumili,2026-07-23T11:55:27+07:00,-8.474798687,114.1133105,9062030.987,182138.5415,pancing ikan,"Perikanan
",Kolam pancing,Krajan,
Tiga bersaudara material,2026-07-23T11:25:26+07:00,-8.472011279,114.1175796,9062343.016,182606.7157,Material bangunan,Kerajinan,Batako,Krajan,
Ud.Mela,2026-07-23T11:37:49+07:00,-8.47618971,114.1190327,9061881.698,182770.2855,Mable Rumah Tangga,Kerajinan,Mebel,Krajan,
Warung tepi ladang (parno),2026-07-23T12:18:52+07:00,-8.481255365,114.1055655,9061309.945,181290.3447,es dawet,Minuman,Cendol,Krajan,
Zha Craft Florist Hand Made,2026-07-23T11:18:59+07:00,-8.470250768,114.1145698,9062535.424,182273.5835,Buket bunga hand made,Kerajinan,Bunga buatan,Krajan,
